,reaction,Unnamed: 0,dG,dG_std,ddG0,dG_prime,lower_bound,upper_bound,sign,direction
80,R03636,80,103.9446343,50.19302337,-45.43409339,58.51054091,-92.0685292,209.08961100000002,-19250.572959999998,0
81,R03637,81,-436.8149322,10.26267459,42.60426861,-394.21066360000003,-424.9986874,-363.4226398,154454.1449,2
82,R03634,82,-1.915090682,6.3630664910000005,-0.000189345,-1.9152800269999999,-21.004479500000002,17.17391945,-360.7292389,0
83,R03635,83,-15.59567843,6.493332193,-0.002279734,-15.59795816,-35.07795474,3.8820384189999997,-136.173968,0
84,R01855,84,64.7487562,6.311374135,-82.36324062,-17.61448442,-36.54860683,1.319637985,-48.23092987,0
85,R01856,85,33.93236399,6.314293652999999,-51.24103877,-17.30867478,-36.25155574,1.634206179,-59.24251639,0
86,R01857,86,0.0,6.294693468999999,0.046279891,0.046279891,-18.83780052,18.9303603,-356.60635099999996,0
87,R01850,87,61.6812777,110.52591299999999,-0.032344021,61.64893368,-269.9288053,393.2266727,-106143.20599999999,0
88,R01851,88,48.0530353,52.10687981,-41.15704562,6.895989683,-149.4246497,163.2166291,-24388.58764,0
89,R01858,89,69.97398336,6.34168567,-41.65548688,28.31849648,9.29343947,47.34355349,439.9844487,0
90,R01859,90,46.63582978,7.788113796,-44.47790449,2.1579252859999998,-21.206416100000002,25.52226667,-541.235807,0
91,R08533,91,1.617269944,13.63781899,-2.852517158,-1.235247215,-42.14870419,39.67820976,-1672.385126,0
92,R08534,92,-29.6924162,6.373373456,38.286238299999994,8.593822099999999,-10.52629827,27.71394247,-291.72522460000005,0
93,R08536,93,62.19341137,6.35192053,-42.37897058,19.81444079,0.7586792,38.87020238,29.49001405,0
94,R08537,94,79.4877032,229.29735150000002,-39.92835685,39.55934635,-648.3327082000001,727.4514009,-471630.5368,0
95,R08538,95,-14.17584302,254.67502369999997,1.967069441,-12.20877358,-776.2338447000001,751.8162975,-583585.2551,0
96,R03188,96,-16.80299232,75.1064118,-2.478583116,-19.28157544,-244.6008108,206.03766000000002,-50396.978689999996,0
97,R03189,97,47.41721146,61.62727915,-43.11633998,4.300871473,-180.580966,189.18270890000002,-34162.79632,0
98,R03184,98,-209.9680659,96.89515533,-41.17204804,-251.1401139,-541.8255799,39.54535209,-21426.68333,0
99,R03186,99,-247.38208799999998,326.0129695,-82.20060703,-329.582695,-1307.621604,648.4562135,-847935.3537,0
